Corey,Brewer,2015-01-10,HOU,UTA,True,1135.0,3,9,2,6,1,0,1,1,1,2,0,1,2,9
Tony,Parker,2015-01-10,SAS,MIN,False,1496.0,5,11,0,1,2,0,5,5,1,0,0,3,2,12
Jae,Crowder,2015-01-10,BOS,TOR,False,1337.0,3,5,0,0,1,1,2,3,2,0,1,2,1,7
Gordon,Hayward,2015-01-10,UTA,HOU,False,1796.0,2,10,1,2,4,1,3,4,5,2,0,5,1,9
Dwight,Howard,2015-01-10,HOU,UTA,True,2232.0,4,9,0,0,0,2,6,8,1,1,1,3,4,8
D.J.,Augustin,2015-01-10,DET,BRK,True,1119.0,2,7,1,3,0,0,0,0,6,0,0,1,0,5
J.J.,Barea,2015-01-10,DAL,LAC,False,711.0,2,5,0,1,0,0,2,2,3,1,0,1,0,4
Lavoy,Allen,2015-01-10,IND,PHI,False,1320.0,1,7,0,0,2,2,4,6,1,3,1,1,4,4
Charlie,Villanueva,2015-01-10,DAL,LAC,False,865.0,3,8,2,6,1,0,3,3,0,1,0,1,3,9
Richard,Jefferson,2015-01-10,DAL,LAC,False,762.0,2,4,1,1,0,0,0,0,1,0,0,0,0,5
Nikola,Mirotic,2015-01-10,CHI,MIL,True,781.0,2,6,1,4,2,0,5,5,0,0,0,1,1,7
Devin,Harris,2015-01-10,DAL,LAC,False,1061.0,2,5,0,2,1,0,3,3,5,0,0,2,2,5
Johnny,O'Bryant,2015-01-10,MIL,CHI,False,474.0,1,2,0,0,0,0,0,0,0,1,2,0,0,2
C.J.,Watson,2015-01-10,IND,PHI,False,1824.0,3,11,2,5,2,0,1,1,4,1,0,3,2,10
Elijah,Millsap,2015-01-10,UTA,HOU,False,1671.0,3,11,2,5,0,1,1,2,2,3,1,4,1,8
Greivis,Vasquez,2015-01-10,TOR,BOS,True,1125.0,2,6,2,4,0,0,4,4,2,0,0,2,0,6
Cole,Aldrich,2015-01-10,NYK,CHO,True,1618.0,1,7,0,0,0,3,9,12,2,0,2,1,3,2
Matt,Bonner,2015-01-10,SAS,MIN,False,1297.0,2,7,1,4,0,2,2,4,1,1,0,1,2,5
Alexey,Shved,2015-01-10,HOU,UTA,True,80.0,1,1,1,1,0,0,0,0,0,0,0,0,0,3
Travis,Wear,2015-01-10,NYK,CHO,True,1818.0,3,9,0,2,0,0,5,5,2,0,1,1,2,6
Jordan,Farmar,2015-01-10,LAC,DAL,True,990.0,3,6,1,3,0,0,1,1,1,0,0,0,6,7
Anthony,Bennett,2015-01-10,MIN,SAS,True,1470.0,2,7,0,2,2,0,6,6,0,0,0,0,3,6
Chris,Kaman,2015-01-10,POR,ORL,True,1174.0,5,8,0,0,0,2,1,3,0,0,2,5,5,10
Raymond,Felton,2015-01-10,DAL,LAC,False,285.0,1,3,0,0,0,0,0,0,3,0,0,0,0,2
Joakim,Noah,2015-01-10,CHI,MIL,True,1329.0,1,2,0,0,0,1,4,5,2,0,1,1,4,2
James,Young,2015-01-10,BOS,TOR,False,347.0,0,0,0,0,0,0,1,1,2,0,1,0,0,0
